11/10/20;=500-   200
15/10/20;=500-   184
16/10/20;=500-   180
17/10/20;=500-   180
19/10/20;=500-   174
20/10/20;=500-   174
21/10/20;=500-   173
22/10/20;=500-   173
23/10/20;=500-   173
24/10/20;=500-   172
25/10/20;=500-   172
26/10/20;=500-   172
27/10/20;=500-   171
28/10/20;=500-   171
29/10/20;=500-   169
30/10/20;=500-   169
31/10/20;=500-   170
01/11/20;=500-   170
02/11/20;=500-   169
03/11/20;=500-   172
04/11/20;=500-   143
05/11/20;=500-    82
06/11/20;=500-    79
07/11/20;=500-    77
08/11/20;=500-    79
09/11/20;=500-    74
10/11/20;=500-    70
11/11/20;=500-    60
12/11/20;=500-    60
13/11/20;=500-    55
14/11/20;=500-    52
15/11/20;=500-    45
17/11/20;=500-   135
18/11/20;=500-   124
19/11/20;=500-    99
21/11/20;=500-   138
23/11/20;=500-   118
24/11/20;=500-   116
25/11/20;=500-   111
26/11/20;=500-   102
27/11/20;=500-   101
29/11/20;=500-   102
30/11/20;=500-   101
01/12/20;=500-    89
02/12/20;=500-    87
03/12/20;=500-    87
04/12/20;=500-    85
05/12/20;=500-    85
06/12/20;=500-    75
07/12/20;=500-    74
08/12/20;=500-    74
09/12/20;=500-    79
13/12/20;=500-    79
14/12/20;=500-    76
15/12/20;=500-    57
16/12/20;=500-    54
17/12/20;=500-    59
18/12/20;=500-    57
19/12/20;=500-    57
20/12/20;=500-    57
21/12/20;=500-    56
22/12/20;=500-    56
23/12/20;=500-    68
24/12/20;=500-    71
25/12/20;=500-    68
26/12/20;=500-    74
27/12/20;=500-    73
28/12/20;=500-    72
29/12/20;=500-    72
30/12/20;=500-    71
31/12/20;=500-   169
03/01/21;=500-   168
04/01/21;=500-   168
05/01/21;=500-   168
06/01/21;=500-   168
09/01/21;=500-   138
11/01/21;=500-   139
12/01/21;=500-   140
14/01/21;=500-   140
15/01/21;=500-   136
16/01/21;=500-   134
17/01/21;=500-   133
18/01/21;=500-   133
19/01/21;=500-   134
20/01/21;=500-   132
21/01/21;=500-   132
22/01/21;=500-   133
23/01/21;=500-   127
24/01/21;=500-   127
25/01/21;=500-   125
26/01/21;=500-   124
27/01/21;=500-   123
28/01/21;=500-   124
30/01/21;=500-   123
31/01/21;=500-   122
01/02/21;=500-   130
02/02/21;=500-   117
03/02/21;=500-   131
04/02/21;=500-   130
05/02/21;=500-   125
06/02/21;=500-   126
07/02/21;=500-   124
08/02/21;=500-   123
09/02/21;=500-   123
10/02/21;=500-   114
11/02/21;=500-   114
12/02/21;=500-    93
13/02/21;=500-    92
14/02/21;=500-    90
15/02/21;=500-    89
16/02/21;=500-    89
17/02/21;=500-    85
18/02/21;=500-    89
19/02/21;=500-    89
20/02/21;=500-    86
21/02/21;=500-    84
22/02/21;=500-    84
23/02/21;=500-    84
25/02/21;=500-    89
26/02/21;=500-    88
28/02/21;=500-    88
03/03/21;=500-   139
06/03/21;=500-   139
07/03/21;=500-   139
09/03/21;=500-   135
10/03/21;=500-   138
11/03/21;=500-   137
12/03/21;=500-   137
13/03/21;=500-   134
14/03/21;=500-   134
15/03/21;=500-   131
17/03/21;=500-   121
18/03/21;=500-   123
20/03/21;=500-   120
21/03/21;=500-   120
22/03/21;=500-   125
23/03/21;=500-   122
25/03/21;=500-   121
26/03/21;=500-   120
27/03/21;=500-   120
28/03/21;=500-   120
29/03/21;=500-   120
30/03/21;=500-   118
31/03/21;=500-   117
01/04/21;=500-   120
02/04/21;=500-   120
03/04/21;=500-   120
04/04/21;=500-   120
05/04/21;=500-   120
06/04/21;=500-   116
08/04/21;=500-   102
10/04/21;=500-    79
12/04/21;=500-    79
